"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"1034",2015,1,"US","US Airways Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",288,48,3,0,2425,1457,22,450,62,434
"9130",2015,8,"WN","Southwest Airlines Co.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",4923,876,33,33,46071,10526,3240,6271,83,25951
"2020",2015,2,"OO","SkyWest Airlines Inc.","LWS","Lewiston, ID: Lewiston Nez Perce County",48,4,0,0,176,136,0,40,0,0
"7862",2015,7,"UA","United Air Lines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",539,161,5,3,9649,6009,60,1079,0,2501
"1369",2015,2,"DL","Delta Air Lines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",3949,671,50,5,45430,18928,5490,6175,0,14837
"9565",2015,9,"EV","ExpressJet Airlines Inc.","LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",252,43,1,0,2237,1040,7,567,0,623
"9172",2015,9,"AA","American Airlines Inc.","TPA","Tampa, FL: Tampa International",965,169,1,1,8007,2873,738,2059,0,2337
"8977",2015,8,"UA","United Air Lines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",495,154,11,0,8510,4687,10,1647,0,2166
"9244",2015,9,"AS","Alaska Airlines Inc.","ADQ","Kodiak, AK: Kodiak Airport",47,2,0,0,55,34,0,21,0,0
"3524",2015,4,"AA","American Airlines Inc.","BNA","Nashville, TN: Nashville International",313,59,2,2,4080,1240,306,300,0,2234
"9912",2015,9,"OO","SkyWest Airlines Inc.","SDF","Louisville, KY: Louisville International-Standiford Field",27,7,0,0,487,181,34,26,0,246
"4699",2015,5,"AA","American Airlines Inc.","PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",129,27,2,0,1212,369,282,240,0,321
"2279",2015,2,"WN","Southwest Airlines Co.","HRL","Harlingen/San Benito, TX: Valley International",156,25,0,0,996,149,44,196,0,607
