"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"9071",2015,8,"WN","Southwest Airlines Co.","IAD","Washington, DC: Washington Dulles International",212,42,4,0,2799,1207,98,470,0,1024
"9080",2015,8,"WN","Southwest Airlines Co.","AMA","Amarillo, TX: Rick Husband Amarillo International",144,18,0,0,835,400,0,46,0,389
"9084",2015,8,"WN","Southwest Airlines Co.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",382,63,1,0,3865,1265,264,252,0,2084
"9087",2015,8,"WN","Southwest Airlines Co.","BOS","Boston, MA: Logan International",1066,264,11,3,16111,4798,943,2674,0,7696
"9088",2015,8,"WN","Southwest Airlines Co.","BUF","Buffalo, NY: Buffalo Niagara International",505,131,4,1,8234,2635,846,916,85,3752
"9099",2015,8,"WN","Southwest Airlines Co.","RSW","Fort Myers, FL: Southwest Florida International",369,85,3,3,4524,1689,299,761,0,1775
"9101",2015,8,"WN","Southwest Airlines Co.","SAT","San Antonio, TX: San Antonio International",1296,252,2,2,14151,5759,519,898,0,6975
"9104",2015,8,"WN","Southwest Airlines Co.","SFO","San Francisco, CA: San Francisco International",1350,347,43,0,18643,5160,665,4655,0,8163
"9106",2015,8,"WN","Southwest Airlines Co.","SJU","San Juan, PR: Luis Munoz Marin International",233,55,2,0,2750,604,253,402,0,1491
"9117",2015,8,"WN","Southwest Airlines Co.","MEM","Memphis, TN: Memphis International",276,65,0,2,4050,1011,488,795,0,1756
"9119",2015,8,"WN","Southwest Airlines Co.","MKE","Milwaukee, WI: General Mitchell International",1112,201,5,6,12681,4094,485,1026,0,7076
"9120",2015,8,"WN","Southwest Airlines Co.","MSP","Minneapolis, MN: Minneapolis-St Paul International",726,141,2,0,6261,1532,510,790,0,3429
"9121",2015,8,"WN","Southwest Airlines Co.","MSY","New Orleans, LA: Louis Armstrong New Orleans International",1573,245,8,0,13741,5262,854,1394,0,6231
"9124",2015,8,"WN","Southwest Airlines Co.","OMA","Omaha, NE: Eppley Airfield",491,87,2,1,4678,1913,179,267,0,2319
"9128",2015,8,"WN","Southwest Airlines Co.","PDX","Portland, OR: Portland International",1165,195,0,1,11313,3380,235,220,0,7478
"9129",2015,8,"WN","Southwest Airlines Co.","PHL","Philadelphia, PA: Philadelphia International",723,181,7,2,10946,3109,1143,1884,4,4806
"9136",2015,9,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1500,291,10,4,15252,5540,990,5951,0,2771
"9143",2015,9,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",795,102,4,4,4305,2295,86,545,0,1379
"9153",2015,9,"AA","American Airlines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",336,39,0,0,1905,947,151,363,0,444
"9158",2015,9,"AA","American Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",4533,424,17,4,24441,12176,249,3923,73,8020
"9159",2015,9,"AA","American Airlines Inc.","STL","St. Louis, MO: St Louis Lambert International",598,68,1,2,3964,1711,432,348,19,1454
"9168",2015,9,"AA","American Airlines Inc.","JAC","Jackson, WY: Jackson Hole",57,9,0,0,508,155,0,15,0,338
"9178",2015,9,"AA","American Airlines Inc.","LIH","Lihue, HI: Lihue Airport",58,6,0,2,303,121,0,85,0,97
"9185",2015,9,"AA","American Airlines Inc.","MSY","New Orleans, LA: Louis Armstrong New Orleans International",452,67,0,0,3363,1194,177,410,0,1582
"9190",2015,9,"AA","American Airlines Inc.","IND","Indianapolis, IN: Indianapolis International",333,33,1,1,1534,1007,36,82,0,409
"9192",2015,9,"AA","American Airlines Inc.","MKE","Milwaukee, WI: General Mitchell International",136,16,0,0,706,377,0,76,0,253
"9195",2015,9,"AA","American Airlines Inc.","STT","Charlotte Amalie, VI: Cyril E King",64,18,0,0,1230,536,122,87,0,485
"9199",2015,9,"AA","American Airlines Inc.","DAY","Dayton, OH: James M Cox/Dayton International",79,10,0,0,428,260,0,26,0,142
"9222",2015,9,"AA","American Airlines Inc.","GSO","Greensboro/High Point, NC: Piedmont Triad International",61,15,0,0,720,434,105,53,0,128
"9229",2015,9,"AS","Alaska Airlines Inc.","OTZ","Kotzebue, AK: Ralph Wien Memorial",60,8,0,1,334,62,116,61,0,95
"9230",2015,9,"AS","Alaska Airlines Inc.","KTN","Ketchikan, AK: Ketchikan International",200,29,1,0,1126,452,137,350,23,164
"9232",2015,9,"AS","Alaska Airlines Inc.","SFO","San Francisco, CA: San Francisco International",457,52,0,0,2818,790,240,1346,68,374
